Country,Region,Happiness Rank,Happiness Score,Dystopia Residual,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Generosity,Trust (Government Corruption),Year
Trinidad & Tobago,Latin America and Caribbean,38,6.192,2.14845,1.22271,1.49215,0.56375,0.57508,0.17107,0.01865,2018
Slovakia,Central and Eastern Europe,39,6.172999999999999,2.1654,1.20989,1.53705,0.7761399999999999,0.35352,0.1176,0.013819999999999999,2018
El Salvador,Latin America and Caribbean,40,6.167000000000001,2.88355,0.80583,1.23068,0.63864,0.46066999999999997,0.06507,0.08234,2018
Nicaragua,Latin America and Caribbean,41,6.141,2.59045,0.6683,1.31948,0.69984,0.52674,0.20767,0.12847999999999998,2018
Poland,Central and Eastern Europe,42,6.122999999999999,2.0016599999999998,1.17554,1.44783,0.78083,0.54573,0.10757,0.06386,2018
Bahrain,Middle East and Northern Africa,43,6.105,1.7428599999999999,1.3377700000000001,1.36564,0.6984199999999999,0.59438,0.24294000000000002,0.12305999999999999,2018
Uzbekistan,Central and Eastern Europe,44,6.096,1.87694,0.71885,1.58443,0.6048399999999999,0.72448,0.32779,0.25875,2018
Kuwait,Middle East and Northern Africa,45,6.082999999999999,1.80519,1.47371,1.30149,0.67515,0.55428,0.16738,0.10618,2018
Thailand,Southeastern Asia,46,6.072,1.9023,1.01597,1.41725,0.70672,0.6373300000000001,0.36357,0.02914,2018
Italy,Western Europe,47,6.0,1.84312,1.26414,1.50065,0.9464299999999999,0.28102,0.13655,0.02845,2018
Ecuador,Latin America and Caribbean,48,5.973,2.22808,0.8891600000000001,1.3301399999999999,0.73558,0.55615,0.11392000000000001,0.12015,2018
Belize,Latin America and Caribbean,49,5.956,2.70978,0.8067300000000001,1.10089,0.47433000000000003,0.59275,0.18256,0.0886,2018
Lithuania,Central and Eastern Europe,50,5.952000000000001,2.13001,1.19684,1.52714,0.71553,0.34986,0.026160000000000003,0.00636,2018
Slovenia,Central and Eastern Europe,51,5.9479999999999995,1.5222799999999999,1.21904,1.50639,0.85621,0.63293,0.1598,0.05095,2018
Romania,Central and Eastern Europe,52,5.945,2.2686,1.11562,1.21884,0.72638,0.52752,0.08755,0.0006900000000000001,2018
Latvia,Central and Eastern Europe,53,5.933,2.13899,1.148,1.45431,0.67085,0.36294,0.09165,0.06633,2018
Japan,Eastern Asia,54,5.915,1.3900299999999999,1.29421,1.4616,0.9879,0.553,0.07861,0.14967,2018
Mauritius,Sub-Saharan Africa,55,5.891,1.8512099999999998,1.0901399999999999,1.38743,0.68388,0.5839,0.24502,0.04989,2018
Jamaica,Latin America and Caribbean,56,5.89,2.18182,0.8185600000000001,1.49315,0.6934,0.57527,0.09627999999999999,0.03129,2018
South Korea,Eastern Asia,57,5.875,1.97963,1.26631,1.2041600000000001,0.95465,0.24419000000000002,0.17452,0.05144,2018
Northern Cyprus,Western Europe,58,5.835,1.65875,1.22882,1.2110100000000001,0.9091299999999999,0.4949,0.17868,0.15354,2018
Russia,Central and Eastern Europe,59,5.81,2.0912900000000003,1.1511,1.47904,0.59853,0.39929000000000003,0.06506,0.02537,2018
Kazakhstan,Central and Eastern Europe,60,5.79,1.77773,1.14262,1.5164799999999998,0.63132,0.4536,0.14759,0.12070999999999998,2018
Cyprus,Western Europe,61,5.7620000000000005,1.77361,1.22882,1.19075,0.9091299999999999,0.42275,0.20249,0.034980000000000004,2018
Bolivia,Latin America and Caribbean,62,5.752000000000001,2.46862,0.75111,1.22306,0.50839,0.60574,0.14115,0.05382000000000001,2018
Estonia,Central and Eastern Europe,63,5.739,1.45713,1.20002,1.53241,0.73727,0.55279,0.08573,0.17387,2018
Paraguay,Latin America and Caribbean,64,5.681,1.93228,0.8345799999999999,1.52209,0.61502,0.5405399999999999,0.16201,0.07405,2018
Peru,Latin America and Caribbean,65,5.662999999999999,2.1509400000000003,0.9335200000000001,1.24898,0.67403,0.52998,0.09155,0.03417,2018
Kosovo,Central and Eastern Europe,66,5.662000000000001,2.2549099999999997,0.8548,1.2297799999999999,0.57767,0.44816999999999996,0.27385,0.022959999999999998,2018
Moldova,Central and Eastern Europe,67,5.64,2.65876,0.65661,1.30069,0.62022,0.23215999999999998,0.17095,0.00033,2018
Turkmenistan,Central and Eastern Europe,68,5.636,1.9180599999999999,1.01559,1.53283,0.51675,0.4166,0.19908,0.03731,2018
Hungary,Central and Eastern Europe,69,5.62,1.9741,1.1710399999999999,1.4013200000000001,0.73155,0.25901,0.06071,0.02226,2018
Libya,Middle East and Northern Africa,70,5.566,1.91841,0.98515,1.34984,0.5526800000000001,0.49591999999999997,0.11553,0.1482,2018
Philippines,Southeastern Asia,71,5.524,2.05579,0.7753399999999999,1.31237,0.51265,0.64284,0.11992,0.10518,2018
Honduras,Latin America and Caribbean,72,5.504,2.3278,0.61964,1.20519,0.62241,0.45861999999999997,0.19680999999999998,0.07357999999999999,2018
Belarus,Central and Eastern Europe,73,5.483,1.6840400000000002,1.03878,1.49776,0.70012,0.30728,0.10097,0.15437,2018
Turkey,Middle East and Northern Africa,74,5.483,1.72944,1.14834,1.38045,0.68562,0.32428,0.1056,0.10878,2018
Pakistan,Southern Asia,75,5.472,2.92302,0.6524399999999999,0.8095399999999999,0.42373999999999995,0.33434,0.21608000000000002,0.11329000000000002,2018
"Hong Kong SAR, China",Eastern Asia,76,5.43,0.64362,1.40506,1.28998,1.02965,0.52422,0.24647,0.29143,2018
Portugal,Western Europe,77,5.41,1.27623,1.18751,1.42947,0.88359,0.56204,0.05491,0.01662,2018
Serbia,Central and Eastern Europe,78,5.398,1.9047,0.9747,1.3692600000000001,0.68497,0.28786999999999996,0.13377999999999998,0.0429,2018
Greece,Western Europe,79,5.358,1.94816,1.1538,1.20191,0.87859,0.13093,0.0,0.044469999999999996,2018
Tajikistan,Central and Eastern Europe,80,5.352,2.24843,0.47413999999999995,1.17898,0.59787,0.5035,0.21408000000000002,0.13554000000000002,2018
Montenegro,Central and Eastern Europe,81,5.347,1.8695400000000002,1.01728,1.27939,0.72921,0.25927,0.11141,0.08145,2018
Croatia,Central and Eastern Europe,82,5.321000000000001,1.7689599999999999,1.1149200000000001,1.16097,0.73702,0.38037,0.12002,0.03895,2018
Dominican Republic,Latin America and Caribbean,83,5.3020000000000005,1.4609,0.9816799999999999,1.4407299999999998,0.61449,0.57828,0.11995,0.10574000000000001,2018
Algeria,Middle East and Northern Africa,84,5.295,2.20853,0.9788600000000001,1.1536600000000001,0.6866,0.07728,0.055189999999999996,0.13452,2018
Morocco,Middle East and Northern Africa,85,5.254,2.44787,0.77879,0.7973399999999999,0.66894,0.46012,0.0264,0.07426,2018
China,Eastern Asia,86,5.246,1.58633,0.9893200000000001,1.14198,0.7994,0.5967899999999999,0.02865,0.10334000000000002,2018
Azerbaijan,Central and Eastern Europe,87,5.2010000000000005,1.77557,1.0240200000000002,1.16089,0.60288,0.42983999999999994,0.030910000000000003,0.17649,2018
Lebanon,Middle East and Northern Africa,88,5.199,1.77073,0.96454,1.1664,0.7854300000000001,0.29165,0.18652,0.0336,2018
Macedonia,Central and Eastern Europe,89,5.185,1.6753799999999999,0.95935,1.23932,0.6905899999999999,0.39449,0.17322,0.05246,2018
Jordan,Middle East and Northern Africa,90,5.1610000000000005,1.6974099999999999,0.8215899999999999,1.26498,0.64488,0.46781999999999996,0.12985,0.13417,2018
Nigeria,Sub-Saharan Africa,91,5.155,2.55215,0.68912,1.17171,0.04772,0.46186000000000005,0.20104,0.03175,2018
Kyrgyzstan,Central and Eastern Europe,92,5.131,1.7358900000000002,0.52965,1.41639,0.59368,0.53989,0.28068000000000004,0.03458,2018
Bosnia and Herzegovina,Central and Eastern Europe,93,5.129,1.8825900000000002,0.9149200000000001,1.07805,0.75756,0.28031,0.21591999999999997,0.0,2018
Mongolia,Eastern Asia,94,5.125,1.43815,0.91417,1.51725,0.57536,0.39513000000000004,0.25284,0.03171,2018
Vietnam,Southeastern Asia,95,5.103,1.4473,0.71463,1.36501,0.70152,0.61824,0.17705,0.0795,2018
Indonesia,Southeastern Asia,96,5.093,1.41676,0.89905,1.2145700000000001,0.5223899999999999,0.5381600000000001,0.48402,0.01763,2018
Bhutan,Southern Asia,97,5.082,1.34826,0.7963600000000001,1.3346200000000001,0.52657,0.5415,0.36401,0.17082,2018
Somalia,Sub-Saharan Africa,98,4.982,2.9605099999999998,0.0,0.71192,0.1154,0.67362,0.23798000000000002,0.28209,2018
Cameroon,Sub-Saharan Africa,99,4.975,2.68765,0.53466,0.89081,0.18239,0.45361999999999997,0.18279,0.0434,2018
Bulgaria,Central and Eastern Europe,100,4.933,1.21879,1.05444,1.5152299999999999,0.71235,0.35875999999999997,0.06421,0.009340000000000001,2018
Nepal,Southern Asia,101,4.88,1.7821799999999999,0.42538000000000004,1.22823,0.53863,0.52613,0.30201999999999996,0.07787999999999999,2018
Venezuela,Latin America and Caribbean,102,4.806,1.4423700000000002,0.99566,1.46941,0.65705,0.1331,0.05632,0.051629999999999995,2018
Gabon,Sub-Saharan Africa,103,4.758,1.7146,1.0362799999999999,1.16353,0.40406,0.35629,0.03204,0.05156,2018
Palestinian Territories,Middle East and Northern Africa,104,4.743,1.85315,0.64241,1.2167700000000001,0.60241,0.26616,0.08595,0.07646,2018
South Africa,Sub-Saharan Africa,105,4.724,1.36805,0.93991,1.41045,0.32999,0.51648,0.10336,0.05575,2018
Iran,Middle East and Northern Africa,106,4.707,1.3148600000000001,1.05853,0.7714,0.69076,0.45935,0.28239000000000003,0.12927,2018
Ivory Coast,Sub-Saharan Africa,107,4.671,2.4626799999999998,0.54081,0.8715299999999999,0.08032,0.46652,0.14639000000000002,0.10296,2018
Ghana,Sub-Saharan Africa,108,4.657,2.0932,0.59172,0.89575,0.33724,0.49853000000000003,0.21176999999999999,0.02876,2018
Senegal,Sub-Saharan Africa,109,4.631,2.02585,0.42891,1.1174600000000001,0.43322,0.40555,0.13799,0.08213,2018
Laos,Southeastern Asia,110,4.623,1.39944,0.7197600000000001,1.0335299999999998,0.44083,0.62621,0.22969,0.17368,2018
Tunisia,Middle East and Northern Africa,111,4.592,1.7224099999999998,0.89974,0.90643,0.6903199999999999,0.27051,0.04021,0.06274,2018
Albania,Central and Eastern Europe,112,4.586,1.46215,0.9157799999999999,0.8174,0.7903899999999999,0.41867,0.14920999999999998,0.03244,2018
Sierra Leone,Sub-Saharan Africa,113,4.571000000000001,2.85481,0.25616,0.8132,0.0,0.35518,0.23822,0.053020000000000005,2018
Congo (Brazzaville),Sub-Saharan Africa,114,4.559,2.0407599999999997,0.6816,0.81076,0.34297,0.51379,0.09149,0.0773,2018
Bangladesh,Southern Asia,115,4.5,1.6635400000000002,0.5323399999999999,0.84957,0.57853,0.57963,0.15298,0.14381,2018
Sri Lanka,Southern Asia,116,4.471,0.62376,0.91785,1.31436,0.6719,0.58513,0.30741999999999997,0.05018,2018
Iraq,Middle East and Northern Africa,117,4.456,1.39263,1.00987,0.97121,0.53599,0.30368,0.14765,0.09461,2018
Mali,Sub-Saharan Africa,118,4.447,2.12951,0.3698,1.23318,0.15199000000000001,0.36729,0.13934000000000002,0.0559,2018
Namibia,Sub-Saharan Africa,119,4.441,1.28663,0.87382,1.28135,0.3654,0.5192899999999999,0.05063,0.06418,2018
Cambodia,Southeastern Asia,120,4.433,1.32125,0.54867,1.08826,0.45677,0.69638,0.25633,0.06493,2018
Burkina Faso,Sub-Saharan Africa,121,4.4239999999999995,2.1449,0.31367,1.09674,0.25406999999999996,0.31164000000000003,0.17545999999999998,0.12793,2018
Egypt,Middle East and Northern Africa,122,4.419,1.44425,0.88538,1.02502,0.5534100000000001,0.31208,0.09242,0.10662,2018
Mozambique,Sub-Saharan Africa,123,4.417,2.24932,0.198,0.9019,0.17265,0.53087,0.20563,0.15824000000000002,2018
Kenya,Sub-Saharan Africa,124,4.41,1.50299,0.49306000000000005,1.04795,0.45441000000000004,0.5037,0.35247,0.055139999999999995,2018
Zambia,Sub-Saharan Africa,125,4.377,1.6669,0.56239,1.04741,0.29452,0.5026,0.22136999999999998,0.08195,2018
Mauritania,Sub-Saharan Africa,126,4.356,1.9053400000000003,0.55703,1.2450299999999999,0.29203,0.12853,0.13418,0.09332,2018
Ethiopia,Sub-Saharan Africa,127,4.35,1.8835400000000002,0.30793000000000004,0.9502799999999999,0.39092,0.4519,0.2196,0.14604,2018
Georgia,Central and Eastern Europe,128,4.34,1.62399,0.8532799999999999,0.59195,0.64259,0.37545,0.038489999999999996,0.21474000000000001,2018
Armenia,Central and Eastern Europe,129,4.321000000000001,1.48299,0.81639,0.9902,0.66619,0.2601,0.07705,0.027639999999999998,2018
Myanmar,Southeastern Asia,130,4.308,0.6673399999999999,0.68213,1.1736799999999998,0.42938999999999994,0.5796399999999999,0.5975699999999999,0.17806,2018
Chad,Sub-Saharan Africa,131,4.301,2.55323,0.35783000000000004,0.90701,0.05284,0.18891,0.18082,0.05995,2018
Congo (Kinshasa),Sub-Saharan Africa,132,4.245,2.2739599999999998,0.06923,1.13562,0.20432999999999998,0.31235,0.19722,0.05225,2018
India,Southern Asia,133,4.19,1.4318,0.72126,0.7471399999999999,0.48493,0.5393100000000001,0.17219,0.09318,2018
Niger,Sub-Saharan Africa,134,4.166,2.28272,0.13135,0.8665700000000001,0.22083000000000003,0.38979,0.17536,0.0989,2018
Uganda,Sub-Saharan Africa,135,4.1610000000000005,1.74216,0.32177,1.0901100000000001,0.23699,0.44971000000000005,0.25942,0.0606,2018
Benin,Sub-Saharan Africa,136,4.141,2.48082,0.3778,0.3725,0.24043,0.43975,0.16324,0.06683,2018
Sudan,Sub-Saharan Africa,137,4.138999999999999,1.74955,0.60502,1.24004,0.31217,0.01623,0.1339,0.08175,2018
Ukraine,Central and Eastern Europe,138,4.103,0.9269,0.793,1.41276,0.60926,0.16257,0.18696,0.01144,2018
Togo,Sub-Saharan Africa,139,3.9989999999999997,2.3189599999999997,0.25936,0.47426999999999997,0.2529,0.43412,0.1582,0.10067999999999999,2018
Guinea,Sub-Saharan Africa,140,3.964,1.9428299999999998,0.34371,0.79246,0.21147,0.39432,0.18549000000000002,0.09382,2018
Lesotho,Sub-Saharan Africa,141,3.8080000000000003,1.39174,0.47248,1.21495,0.07898,0.42294,0.11560999999999999,0.1115,2018
Angola,Sub-Saharan Africa,142,3.795,1.53053,0.73016,1.1250200000000001,0.26899,0.0,0.07887000000000001,0.061279999999999994,2018
Madagascar,Sub-Saharan Africa,143,3.7739999999999996,1.7776900000000002,0.26234,0.90766,0.40176999999999996,0.22107,0.15457,0.048530000000000004,2018
Zimbabwe,Sub-Saharan Africa,144,3.6919999999999997,1.35591,0.35728000000000004,1.0943100000000001,0.24789,0.40598,0.13196,0.09894,2018
Afghanistan,Southern Asia,145,3.6319999999999997,2.19592,0.33181,0.53719,0.25477,0.08455,0.191,0.03627,2018
Botswana,Sub-Saharan Africa,146,3.59,0.29165,1.01657,1.17362,0.41657,0.5568,0.04237,0.09226000000000001,2018
Malawi,Sub-Saharan Africa,147,3.5869999999999997,1.73237,0.18608,0.54142,0.30579,0.53054,0.21031999999999998,0.08025,2018
Haiti,Latin America and Caribbean,148,3.582,1.74365,0.31475,0.7136100000000001,0.2892,0.02484,0.39234,0.10357000000000001,2018
Liberia,Sub-Saharan Africa,149,3.495,1.6401,0.07572999999999999,0.8584299999999999,0.2666,0.41889,0.20561,0.030019999999999998,2018
Syria,Middle East and Northern Africa,150,3.4619999999999997,1.24414,0.6887800000000001,0.38164000000000003,0.53885,0.08828,0.37590999999999997,0.14432,2018
Rwanda,Sub-Saharan Africa,151,3.408,0.49996,0.33233,0.89564,0.40005999999999997,0.6359100000000001,0.19971,0.44448999999999994,2018
Yemen,Middle East and Northern Africa,152,3.355,1.10647,0.44153000000000003,1.07261,0.34321999999999997,0.24386999999999998,0.08309,0.06415,2018
Tanzania,Sub-Saharan Africa,153,3.303,0.6280899999999999,0.45486000000000004,0.99113,0.3813,0.48091999999999996,0.27004,0.0972,2018
South Sudan,Sub-Saharan Africa,154,3.2539999999999996,1.6906299999999999,0.33737,0.6075,0.17745999999999998,0.1116,0.22393000000000002,0.10567,2018
Central African Republic,Sub-Saharan Africa,155,3.083,2.4870099999999997,0.02391,0.0,0.0101,0.30528,0.21836,0.03834,2018
Burundi,Sub-Saharan Africa,156,2.905,1.7517900000000002,0.09081,0.6269,0.14533,0.06485,0.1489,0.07595,2018
