Country,Region,Happiness Rank,Happiness Score,Dystopia Residual,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Generosity,Trust (Government Corruption)
Taiwan Province of China,Eastern Asia,26,6.441,2.13613,1.36505,1.43597,0.85738,0.41756,0.15062,0.07786
Panama,Latin America and Caribbean,27,6.430,2.33618,1.11220,1.43839,0.75880,0.59687,0.12451,0.06309
Brazil,Latin America and Caribbean,28,6.419,2.59203,0.98590,1.47431,0.67514,0.49346,0.11026,0.08780
Argentina,Latin America and Caribbean,29,6.388,2.41820,1.07267,1.46834,0.74359,0.56971,0.06194,0.05351
Guatemala,Latin America and Caribbean,30,6.382,2.87072,0.78132,1.26768,0.60841,0.60430,0.17881,0.07061
Uruguay,Latin America and Caribbean,31,6.379,2.14698,1.09266,1.45879,0.77059,0.62486,0.12962,0.15533
Qatar,Middle East and Northern Africa,32,6.374,1.59306,1.64905,1.30332,0.74800,0.65405,0.25650,0.17054
Saudi Arabia,Middle East and Northern Africa,33,6.371,2.29334,1.37876,1.33127,0.63342,0.50896,0.09834,0.12684
Singapore,Southeastern Asia,34,6.343,1.00502,1.52929,1.45117,1.00800,0.63135,0.26141,0.45697
Malaysia,Southeastern Asia,35,6.322,2.50669,1.16131,1.25824,0.66914,0.35615,0.31143,0.05916
Spain,Western Europe,36,6.310,1.89232,1.25081,1.53764,0.96488,0.44884,0.14156,0.07382
Colombia,Latin America and Caribbean,37,6.260,2.55633,0.96043,1.43882,0.63506,0.53143,0.09859,0.03943
Trinidad & Tobago,Latin America and Caribbean,38,6.192,2.14845,1.22271,1.49215,0.56375,0.57508,0.17107,0.01865
Slovakia,Central and Eastern Europe,39,6.173,2.16540,1.20989,1.53705,0.77614,0.35352,0.11760,0.01382
El Salvador,Latin America and Caribbean,40,6.167,2.88355,0.80583,1.23068,0.63864,0.46067,0.06507,0.08234
Nicaragua,Latin America and Caribbean,41,6.141,2.59045,0.66830,1.31948,0.69984,0.52674,0.20767,0.12848
Poland,Central and Eastern Europe,42,6.123,2.00166,1.17554,1.44783,0.78083,0.54573,0.10757,0.06386
Bahrain,Middle East and Northern Africa,43,6.105,1.74286,1.33777,1.36564,0.69842,0.59438,0.24294,0.12306
Uzbekistan,Central and Eastern Europe,44,6.096,1.87694,0.71885,1.58443,0.60484,0.72448,0.32779,0.25875
Kuwait,Middle East and Northern Africa,45,6.083,1.80519,1.47371,1.30149,0.67515,0.55428,0.16738,0.10618
Thailand,Southeastern Asia,46,6.072,1.90230,1.01597,1.41725,0.70672,0.63733,0.36357,0.02914
Italy,Western Europe,47,6.000,1.84312,1.26414,1.50065,0.94643,0.28102,0.13655,0.02845
Ecuador,Latin America and Caribbean,48,5.973,2.22808,0.88916,1.33014,0.73558,0.55615,0.11392,0.12015
Belize,Latin America and Caribbean,49,5.956,2.70978,0.80673,1.10089,0.47433,0.59275,0.18256,0.08860
Lithuania,Central and Eastern Europe,50,5.952,2.13001,1.19684,1.52714,0.71553,0.34986,0.02616,0.00636
Slovenia,Central and Eastern Europe,51,5.948,1.52228,1.21904,1.50639,0.85621,0.63293,0.15980,0.05095
Romania,Central and Eastern Europe,52,5.945,2.26860,1.11562,1.21884,0.72638,0.52752,0.08755,0.00069
Latvia,Central and Eastern Europe,53,5.933,2.13899,1.14800,1.45431,0.67085,0.36294,0.09165,0.06633
Japan,Eastern Asia,54,5.915,1.39003,1.29421,1.46160,0.98790,0.55300,0.07861,0.14967
Mauritius,Sub-Saharan Africa,55,5.891,1.85121,1.09014,1.38743,0.68388,0.58390,0.24502,0.04989
Jamaica,Latin America and Caribbean,56,5.890,2.18182,0.81856,1.49315,0.69340,0.57527,0.09628,0.03129
South Korea,Eastern Asia,57,5.875,1.97963,1.26631,1.20416,0.95465,0.24419,0.17452,0.05144
Northern Cyprus,Western Europe,58,5.835,1.65875,1.22882,1.21101,0.90913,0.49490,0.17868,0.15354
Russia,Central and Eastern Europe,59,5.810,2.09129,1.15110,1.47904,0.59853,0.39929,0.06506,0.02537
Kazakhstan,Central and Eastern Europe,60,5.790,1.77773,1.14262,1.51648,0.63132,0.45360,0.14759,0.12071
Cyprus,Western Europe,61,5.762,1.77361,1.22882,1.19075,0.90913,0.42275,0.20249,0.03498
Bolivia,Latin America and Caribbean,62,5.752,2.46862,0.75111,1.22306,0.50839,0.60574,0.14115,0.05382
Estonia,Central and Eastern Europe,63,5.739,1.45713,1.20002,1.53241,0.73727,0.55279,0.08573,0.17387
Paraguay,Latin America and Caribbean,64,5.681,1.93228,0.83458,1.52209,0.61502,0.54054,0.16201,0.07405
Peru,Latin America and Caribbean,65,5.663,2.15094,0.93352,1.24898,0.67403,0.52998,0.09155,0.03417
Kosovo,Central and Eastern Europe,66,5.662,2.25491,0.85480,1.22978,0.57767,0.44817,0.27385,0.02296
Moldova,Central and Eastern Europe,67,5.640,2.65876,0.65661,1.30069,0.62022,0.23216,0.17095,0.00033
Turkmenistan,Central and Eastern Europe,68,5.636,1.91806,1.01559,1.53283,0.51675,0.41660,0.19908,0.03731
Hungary,Central and Eastern Europe,69,5.620,1.97410,1.17104,1.40132,0.73155,0.25901,0.06071,0.02226
Libya,Middle East and Northern Africa,70,5.566,1.91841,0.98515,1.34984,0.55268,0.49592,0.11553,0.14820
Philippines,Southeastern Asia,71,5.524,2.05579,0.77534,1.31237,0.51265,0.64284,0.11992,0.10518
Honduras,Latin America and Caribbean,72,5.504,2.32780,0.61964,1.20519,0.62241,0.45862,0.19681,0.07358
Belarus,Central and Eastern Europe,73,5.483,1.68404,1.03878,1.49776,0.70012,0.30728,0.10097,0.15437
Turkey,Middle East and Northern Africa,74,5.483,1.72944,1.14834,1.38045,0.68562,0.32428,0.10560,0.10878
Pakistan,Southern Asia,75,5.472,2.92302,0.65244,0.80954,0.42374,0.33434,0.21608,0.11329
"Hong Kong SAR, China",Eastern Asia,76,5.430,0.64362,1.40506,1.28998,1.02965,0.52422,0.24647,0.29143
Portugal,Western Europe,77,5.410,1.27623,1.18751,1.42947,0.88359,0.56204,0.05491,0.01662
Serbia,Central and Eastern Europe,78,5.398,1.90470,0.97470,1.36926,0.68497,0.28787,0.13378,0.04290
Greece,Western Europe,79,5.358,1.94816,1.15380,1.20191,0.87859,0.13093,0.00000,0.04447
Tajikistan,Central and Eastern Europe,80,5.352,2.24843,0.47414,1.17898,0.59787,0.50350,0.21408,0.13554
Montenegro,Central and Eastern Europe,81,5.347,1.86954,1.01728,1.27939,0.72921,0.25927,0.11141,0.08145
Croatia,Central and Eastern Europe,82,5.321,1.76896,1.11492,1.16097,0.73702,0.38037,0.12002,0.03895
Dominican Republic,Latin America and Caribbean,83,5.302,1.46090,0.98168,1.44073,0.61449,0.57828,0.11995,0.10574
Algeria,Middle East and Northern Africa,84,5.295,2.20853,0.97886,1.15366,0.68660,0.07728,0.05519,0.13452
Morocco,Middle East and Northern Africa,85,5.254,2.44787,0.77879,0.79734,0.66894,0.46012,0.02640,0.07426
China,Eastern Asia,86,5.246,1.58633,0.98932,1.14198,0.79940,0.59679,0.02865,0.10334
Azerbaijan,Central and Eastern Europe,87,5.201,1.77557,1.02402,1.16089,0.60288,0.42984,0.03091,0.17649
Lebanon,Middle East and Northern Africa,88,5.199,1.77073,0.96454,1.16640,0.78543,0.29165,0.18652,0.03360
Macedonia,Central and Eastern Europe,89,5.185,1.67538,0.95935,1.23932,0.69059,0.39449,0.17322,0.05246
Jordan,Middle East and Northern Africa,90,5.161,1.69741,0.82159,1.26498,0.64488,0.46782,0.12985,0.13417
Nigeria,Sub-Saharan Africa,91,5.155,2.55215,0.68912,1.17171,0.04772,0.46186,0.20104,0.03175
Kyrgyzstan,Central and Eastern Europe,92,5.131,1.73589,0.52965,1.41639,0.59368,0.53989,0.28068,0.03458
Bosnia and Herzegovina,Central and Eastern Europe,93,5.129,1.88259,0.91492,1.07805,0.75756,0.28031,0.21592,0.00000
Mongolia,Eastern Asia,94,5.125,1.43815,0.91417,1.51725,0.57536,0.39513,0.25284,0.03171
Vietnam,Southeastern Asia,95,5.103,1.44730,0.71463,1.36501,0.70152,0.61824,0.17705,0.07950
Indonesia,Southeastern Asia,96,5.093,1.41676,0.89905,1.21457,0.52239,0.53816,0.48402,0.01763
Bhutan,Southern Asia,97,5.082,1.34826,0.79636,1.33462,0.52657,0.54150,0.36401,0.17082
Somalia,Sub-Saharan Africa,98,4.982,2.96051,0.00000,0.71192,0.11540,0.67362,0.23798,0.28209
Cameroon,Sub-Saharan Africa,99,4.975,2.68765,0.53466,0.89081,0.18239,0.45362,0.18279,0.04340
Bulgaria,Central and Eastern Europe,100,4.933,1.21879,1.05444,1.51523,0.71235,0.35876,0.06421,0.00934
Nepal,Southern Asia,101,4.880,1.78218,0.42538,1.22823,0.53863,0.52613,0.30202,0.07788
Venezuela,Latin America and Caribbean,102,4.806,1.44237,0.99566,1.46941,0.65705,0.13310,0.05632,0.05163
Gabon,Sub-Saharan Africa,103,4.758,1.71460,1.03628,1.16353,0.40406,0.35629,0.03204,0.05156
Palestinian Territories,Middle East and Northern Africa,104,4.743,1.85315,0.64241,1.21677,0.60241,0.26616,0.08595,0.07646
South Africa,Sub-Saharan Africa,105,4.724,1.36805,0.93991,1.41045,0.32999,0.51648,0.10336,0.05575
Iran,Middle East and Northern Africa,106,4.707,1.31486,1.05853,0.77140,0.69076,0.45935,0.28239,0.12927
Ivory Coast,Sub-Saharan Africa,107,4.671,2.46268,0.54081,0.87153,0.08032,0.46652,0.14639,0.10296
Ghana,Sub-Saharan Africa,108,4.657,2.09320,0.59172,0.89575,0.33724,0.49853,0.21177,0.02876
Senegal,Sub-Saharan Africa,109,4.631,2.02585,0.42891,1.11746,0.43322,0.40555,0.13799,0.08213
Laos,Southeastern Asia,110,4.623,1.39944,0.71976,1.03353,0.44083,0.62621,0.22969,0.17368
Tunisia,Middle East and Northern Africa,111,4.592,1.72241,0.89974,0.90643,0.69032,0.27051,0.04021,0.06274
Albania,Central and Eastern Europe,112,4.586,1.46215,0.91578,0.81740,0.79039,0.41867,0.14921,0.03244
Sierra Leone,Sub-Saharan Africa,113,4.571,2.85481,0.25616,0.81320,0.00000,0.35518,0.23822,0.05302
Congo (Brazzaville),Sub-Saharan Africa,114,4.559,2.04076,0.68160,0.81076,0.34297,0.51379,0.09149,0.07730
Bangladesh,Southern Asia,115,4.500,1.66354,0.53234,0.84957,0.57853,0.57963,0.15298,0.14381
Sri Lanka,Southern Asia,116,4.471,0.62376,0.91785,1.31436,0.67190,0.58513,0.30742,0.05018
Iraq,Middle East and Northern Africa,117,4.456,1.39263,1.00987,0.97121,0.53599,0.30368,0.14765,0.09461
Mali,Sub-Saharan Africa,118,4.447,2.12951,0.36980,1.23318,0.15199,0.36729,0.13934,0.05590
Namibia,Sub-Saharan Africa,119,4.441,1.28663,0.87382,1.28135,0.36540,0.51929,0.05063,0.06418
Cambodia,Southeastern Asia,120,4.433,1.32125,0.54867,1.08826,0.45677,0.69638,0.25633,0.06493
Burkina Faso,Sub-Saharan Africa,121,4.424,2.14490,0.31367,1.09674,0.25407,0.31164,0.17546,0.12793
Egypt,Middle East and Northern Africa,122,4.419,1.44425,0.88538,1.02502,0.55341,0.31208,0.09242,0.10662
Mozambique,Sub-Saharan Africa,123,4.417,2.24932,0.19800,0.90190,0.17265,0.53087,0.20563,0.15824
Kenya,Sub-Saharan Africa,124,4.410,1.50299,0.49306,1.04795,0.45441,0.50370,0.35247,0.05514
Zambia,Sub-Saharan Africa,125,4.377,1.66690,0.56239,1.04741,0.29452,0.50260,0.22137,0.08195
Mauritania,Sub-Saharan Africa,126,4.356,1.90534,0.55703,1.24503,0.29203,0.12853,0.13418,0.09332
Ethiopia,Sub-Saharan Africa,127,4.350,1.88354,0.30793,0.95028,0.39092,0.45190,0.21960,0.14604
Georgia,Central and Eastern Europe,128,4.340,1.62399,0.85328,0.59195,0.64259,0.37545,0.03849,0.21474
Armenia,Central and Eastern Europe,129,4.321,1.48299,0.81639,0.99020,0.66619,0.26010,0.07705,0.02764
Myanmar,Southeastern Asia,130,4.308,0.66734,0.68213,1.17368,0.42939,0.57964,0.59757,0.17806
Chad,Sub-Saharan Africa,131,4.301,2.55323,0.35783,0.90701,0.05284,0.18891,0.18082,0.05995
Congo (Kinshasa),Sub-Saharan Africa,132,4.245,2.27396,0.06923,1.13562,0.20433,0.31235,0.19722,0.05225
India,Southern Asia,133,4.190,1.43180,0.72126,0.74714,0.48493,0.53931,0.17219,0.09318
Niger,Sub-Saharan Africa,134,4.166,2.28272,0.13135,0.86657,0.22083,0.38979,0.17536,0.09890
Uganda,Sub-Saharan Africa,135,4.161,1.74216,0.32177,1.09011,0.23699,0.44971,0.25942,0.06060
Benin,Sub-Saharan Africa,136,4.141,2.48082,0.37780,0.37250,0.24043,0.43975,0.16324,0.06683
Sudan,Sub-Saharan Africa,137,4.139,1.74955,0.60502,1.24004,0.31217,0.01623,0.13390,0.08175
Ukraine,Central and Eastern Europe,138,4.103,0.92690,0.79300,1.41276,0.60926,0.16257,0.18696,0.01144
Togo,Sub-Saharan Africa,139,3.999,2.31896,0.25936,0.47427,0.25290,0.43412,0.15820,0.10068
Guinea,Sub-Saharan Africa,140,3.964,1.94283,0.34371,0.79246,0.21147,0.39432,0.18549,0.09382
Lesotho,Sub-Saharan Africa,141,3.808,1.39174,0.47248,1.21495,0.07898,0.42294,0.11561,0.11150
Angola,Sub-Saharan Africa,142,3.795,1.53053,0.73016,1.12502,0.26899,0.00000,0.07887,0.06128
Madagascar,Sub-Saharan Africa,143,3.774,1.77769,0.26234,0.90766,0.40177,0.22107,0.15457,0.04853
Zimbabwe,Sub-Saharan Africa,144,3.692,1.35591,0.35728,1.09431,0.24789,0.40598,0.13196,0.09894
Afghanistan,Southern Asia,145,3.632,2.19592,0.33181,0.53719,0.25477,0.08455,0.19100,0.03627
Botswana,Sub-Saharan Africa,146,3.590,0.29165,1.01657,1.17362,0.41657,0.55680,0.04237,0.09226
Malawi,Sub-Saharan Africa,147,3.587,1.73237,0.18608,0.54142,0.30579,0.53054,0.21032,0.08025
Haiti,Latin America and Caribbean,148,3.582,1.74365,0.31475,0.71361,0.28920,0.02484,0.39234,0.10357
Liberia,Sub-Saharan Africa,149,3.495,1.64010,0.07573,0.85843,0.26660,0.41889,0.20561,0.03002
Syria,Middle East and Northern Africa,150,3.462,1.24414,0.68878,0.38164,0.53885,0.08828,0.37591,0.14432
Rwanda,Sub-Saharan Africa,151,3.408,0.49996,0.33233,0.89564,0.40006,0.63591,0.19971,0.44449
Yemen,Middle East and Northern Africa,152,3.355,1.10647,0.44153,1.07261,0.34322,0.24387,0.08309,0.06415
Tanzania,Sub-Saharan Africa,153,3.303,0.62809,0.45486,0.99113,0.38130,0.48092,0.27004,0.09720
South Sudan,Sub-Saharan Africa,154,3.254,1.69063,0.33737,0.60750,0.17746,0.11160,0.22393,0.10567
Central African Republic,Sub-Saharan Africa,155,3.083,2.48701,0.02391,0.00000,0.01010,0.30528,0.21836,0.03834
Burundi,Sub-Saharan Africa,156,2.905,1.75179,0.09081,0.62690,0.14533,0.06485,0.14890,0.07595
